academic-credentials,properties.type.title,Type
academic-credentials,properties.type.description,The type of a degree. 
academic-credentials,properties.type.enum,degree;honorary;diploma;certificate
academic-credentials,properties.type.type,string
academic-credentials,required,id;title;type
academic-credentials,additionalProperties,false
academic-disciplines,description,Academic Disciplines offered by an organization
academic-disciplines,type,object
academic-disciplines,properties.metadata.title,Metadata
academic-disciplines,properties.metadata.description,Metadata about the JSON payload
academic-disciplines,properties.metadata.type,object
academic-disciplines,properties.metadata.properties.createdBy.title,Created By
academic-disciplines,properties.metadata.properties.createdBy.description,The name of the originator (user or system) of the data. This is informational only, do not use in business logic!
academic-disciplines,properties.metadata.properties.createdBy.type,string
academic-disciplines,properties.metadata.properties.createdOn.title,Created On
academic-disciplines,properties.metadata.properties.createdOn.description,The date and time when the entity instance was created
academic-disciplines,properties.metadata.properties.createdOn.oneOf.type,string
academic-disciplines,properties.metadata.properties.createdOn.oneOf.format,date-time
academic-disciplines,properties.metadata.properties.createdOn.oneOf.pattern,^(-?(?:[1-9][0-9]*)?[0-9]{4})-(1[0-2]|0[1-9])-(3[0-1]|0[1-9]|[1-2][0-9])T(2[0-3]|[0-1][0-9]):([0-5][0-9]):([0-5][0-9])(\.[0-9]+)?(Z|[+-](?:2[0-3]|[0-1][0-9]):[0-5][0-9])?$
academic-disciplines,properties.metadata.properties.createdOn.oneOf.type,string
academic-disciplines,properties.metadata.properties.createdOn.oneOf.maxLength,
academic-disciplines,properties.metadata.properties.modifiedBy.title,Modified By
academic-disciplines,properties.metadata.properties.modifiedBy.description,The name of the modifier (user or system) of the data. This is informational only, do not use in business logic!
academic-disciplines,properties.metadata.properties.modifiedBy.type,string
academic-disciplines,properties.metadata.properties.modifiedOn.title,Modified On
academic-disciplines,properties.metadata.properties.modifiedOn.description,The date and time when the entity instance was last modified
academic-disciplines,properties.metadata.properties.modifiedOn.oneOf.type,string
academic-disciplines,properties.metadata.properties.modifiedOn.oneOf.format,date-time
academic-disciplines,properties.metadata.properties.modifiedOn.oneOf.pattern,^(-?(?:[1-9][0-9]*)?[0-9]{4})-(1[0-2]|0[1-9])-(3[0-1]|0[1-9]|[1-2][0-9])T(2[0-3]|[0-1][0-9]):([0-5][0-9]):([0-5][0-9])(\.[0-9]+)?(Z|[+-](?:2[0-3]|[0-1][0-9]):[0-5][0-9])?$
academic-disciplines,properties.metadata.properties.modifiedOn.oneOf.type,string
academic-disciplines,properties.metadata.properties.modifiedOn.oneOf.maxLength,
academic-disciplines,properties.metadata.additionalProperties,false
academic-disciplines,properties.id.title,ID
academic-disciplines,properties.id.description,A global identifier of an academic discipline.
academic-disciplines,properties.id.type,string
academic-disciplines,properties.id.format,guid
academic-disciplines,properties.id.pattern,^[a-f0-9]{8}(?:-[a-f0-9]{4}){3}-[a-f0-9]{12}$
academic-disciplines,properties.abbreviation.title,Abbreviation
academic-disciplines,properties.abbreviation.description,The abbreviation that identifies the academic discipline.
academic-disciplines,properties.abbreviation.type,string
academic-disciplines,properties.title.title,Title
academic-disciplines,properties.title.description,The full name of an academic discipline.
academic-disciplines,properties.title.type,string
academic-disciplines,properties.title.minLength,1
academic-disciplines,properties.description.title,Description
academic-disciplines,properties.description.description,A full description of an academic discipline .
academic-disciplines,properties.description.type,string
academic-disciplines,properties.type.title,Type
academic-disciplines,properties.type.description,The type of the academic discipline.
academic-disciplines,properties.type.enum,minor;major;concentration
academic-disciplines,properties.type.type,string
academic-disciplines,required,id;title;type
academic-disciplines,additionalProperties,false
academic-histories,description,A record of a person's academic history.
academic-histories,type,object
academic-histories,properties.metadata.title,Metadata
academic-histories,properties.metadata.description,Metadata about the JSON payload
academic-histories,properties.metadata.type,object
academic-histories,properties.metadata.properties.createdBy.title,Created By
academic-histories,properties.metadata.properties.createdBy.description,The name of the originator (user or system) of the data. This is informational only, do not use in business logic!
academic-histories,properties.metadata.properties.createdBy.type,string
academic-histories,properties.metadata.properties.createdOn.title,Created On
academic-histories,properties.metadata.properties.createdOn.description,The date and time when the entity instance was created
academic-histories,properties.metadata.properties.createdOn.oneOf.type,string
academic-histories,properties.metadata.properties.createdOn.oneOf.format,date-time
academic-histories,properties.metadata.properties.createdOn.oneOf.pattern,^(-?(?:[1-9][0-9]*)?[0-9]{4})-(1[0-2]|0[1-9])-(3[0-1]|0[1-9]|[1-2][0-9])T(2[0-3]|[0-1][0-9]):([0-5][0-9]):([0-5][0-9])(\.[0-9]+)?(Z|[+-](?:2[0-3]|[0-1][0-9]):[0-5][0-9])?$
academic-histories,properties.metadata.properties.createdOn.oneOf.type,string
academic-histories,properties.metadata.properties.createdOn.oneOf.maxLength,
academic-histories,properties.metadata.properties.modifiedBy.title,Modified By
academic-histories,properties.metadata.properties.modifiedBy.description,The name of the modifier (user or system) of the data. This is informational only, do not use in business logic!
academic-histories,properties.metadata.properties.modifiedBy.type,string
academic-histories,properties.metadata.properties.modifiedOn.title,Modified On
academic-histories,properties.metadata.properties.modifiedOn.description,The date and time when the entity instance was last modified
academic-histories,properties.metadata.properties.modifiedOn.oneOf.type,string
academic-histories,properties.metadata.properties.modifiedOn.oneOf.format,date-time
academic-histories,properties.metadata.properties.modifiedOn.oneOf.pattern,^(-?(?:[1-9][0-9]*)?[0-9]{4})-(1[0-2]|0[1-9])-(3[0-1]|0[1-9]|[1-2][0-9])T(2[0-3]|[0-1][0-9]):([0-5][0-9]):([0-5][0-9])(\.[0-9]+)?(Z|[+-](?:2[0-3]|[0-1][0-9]):[0-5][0-9])?$
academic-histories,properties.metadata.properties.modifiedOn.oneOf.type,string
academic-histories,properties.metadata.properties.modifiedOn.oneOf.maxLength,
academic-histories,properties.metadata.additionalProperties,false
academic-histories,properties.id.title,ID
academic-histories,properties.id.description,A global identifier of an academic history record.
academic-histories,properties.id.type,string
academic-histories,properties.id.format,guid
academic-histories,properties.id.pattern,^[a-f0-9]{8}(?:-[a-f0-9]{4}){3}-[a-f0-9]{12}$
academic-histories,properties.description.title,Description
academic-histories,properties.description.description,A full description of an academic history record.
academic-histories,properties.description.type,string
academic-histories,properties.person.title,Person
academic-histories,properties.person.description,The person related to the academic history record.
academic-histories,properties.person.type,object
academic-histories,properties.person.properties.id.title,ID
academic-histories,properties.person.properties.id.description,The global identifier for Person
academic-histories,properties.person.properties.id.type,string
academic-histories,properties.person.properties.id.format,guid
academic-histories,properties.person.properties.id.pattern,^[a-f0-9]{8}(?:-[a-f0-9]{4}){3}-[a-f0-9]{12}$
academic-histories,properties.person.links.rel,self
academic-histories,properties.person.links.href,/persons/{id}
academic-histories,properties.person.links.targetSchema.$ref,persons.json#
academic-histories,properties.person.additionalProperties,false
academic-histories,properties.person.required,id
academic-histories,properties.organization.title,Type
academic-histories,properties.organization.description,The organization associated with the academic history record.
academic-histories,properties.organization.type,object
academic-histories,properties.organization.properties.name.title,Name
academic-histories,properties.organization.properties.name.description,The name of the organization.
academic-histories,properties.organization.properties.name.type,string
academic-histories,properties.organization.properties.name.minLength,1
academic-histories,properties.organization.properties.detail.title,Detail
academic-histories,properties.organization.properties.detail.description,Detailed organization information, if available from the authoritative source.
academic-histories,properties.organization.properties.detail.type,object
academic-histories,properties.organization.properties.detail.properties.id.title,ID
academic-histories,properties.organization.properties.detail.properties.id.description,The global identifier for Detail
academic-histories,properties.organization.properties.detail.properties.id.type,string
academic-histories,properties.organization.properties.detail.properties.id.format,guid
academic-histories,properties.organization.properties.detail.properties.id.pattern,^[a-f0-9]{8}(?:-[a-f0-9]{4}){3}-[a-f0-9]{12}$
academic-histories,properties.organization.properties.detail.links.rel,self
academic-histories,properties.organization.properties.detail.links.href,/organizations/{id}
academic-histories,properties.organization.properties.detail.links.targetSchema.$ref,organizations.json#
academic-histories,properties.organization.properties.detail.additionalProperties,false
academic-histories,properties.organization.properties.detail.required,id
academic-histories,properties.organization.additionalProperties,false
academic-histories,properties.organization.required,name
academic-histories,properties.credentials.title,Credentials
academic-histories,properties.credentials.description,The academic credentials associated with the academic history record.
academic-histories,properties.credentials.type,array
academic-histories,properties.credentials.items.type,object
academic-histories,properties.credentials.items.properties.name.title,Name
academic-histories,properties.credentials.items.properties.name.description,The name of the credential.
academic-histories,properties.credentials.items.properties.name.type,string
academic-histories,properties.credentials.items.properties.name.minLength,1
academic-histories,properties.credentials.items.properties.detail.title,Detail
academic-histories,properties.credentials.items.properties.detail.description,Detailed credential information, if available from the authoritative source..
academic-histories,properties.credentials.items.properties.detail.type,object
academic-histories,properties.credentials.items.properties.detail.properties.id.title,ID
academic-histories,properties.credentials.items.properties.detail.properties.id.description,The global identifier for Detail
academic-histories,properties.credentials.items.properties.detail.properties.id.type,string
academic-histories,properties.credentials.items.properties.detail.properties.id.format,guid
academic-histories,properties.credentials.items.properties.detail.properties.id.pattern,^[a-f0-9]{8}(?:-[a-f0-9]{4}){3}-[a-f0-9]{12}$
academic-histories,properties.credentials.items.properties.detail.links.rel,self
academic-histories,properties.credentials.items.properties.detail.links.href,/academic-credentials/{id}
academic-histories,properties.credentials.items.properties.detail.links.targetSchema.$ref,academic-credentials.json#
academic-histories,properties.credentials.items.properties.detail.additionalProperties,false
academic-histories,properties.credentials.items.properties.detail.required,id
academic-histories,properties.credentials.items.additionalProperties,false
academic-histories,properties.credentials.items.required,name
academic-histories,properties.disciplines.title,Discipline
academic-histories,properties.disciplines.description,The academic disciplines associated with the academic history record.
academic-histories,properties.disciplines.type,array
academic-histories,properties.disciplines.items.type,object
academic-histories,properties.disciplines.items.properties.discipline.title,Discipline
academic-histories,properties.disciplines.items.properties.discipline.description,An academic discipline associated with the education history record.
academic-histories,properties.disciplines.items.properties.discipline.type,object
academic-histories,properties.disciplines.items.properties.discipline.properties.name.title,Name
academic-histories,properties.disciplines.items.properties.discipline.properties.name.description,The name of the academic discipline.
academic-histories,properties.disciplines.items.properties.discipline.properties.name.type,string
academic-histories,properties.disciplines.items.properties.discipline.properties.name.minLength,1
academic-histories,properties.disciplines.items.properties.discipline.properties.detail.title,Detail
academic-histories,properties.disciplines.items.properties.discipline.properties.detail.description,Detailed academic discipline information, if available from the authoritative source..
academic-histories,properties.disciplines.items.properties.discipline.properties.detail.type,object
academic-histories,properties.disciplines.items.properties.discipline.properties.detail.properties.id.title,ID
academic-histories,properties.disciplines.items.properties.discipline.properties.detail.properties.id.description,The global identifier for Detail
academic-histories,properties.disciplines.items.properties.discipline.properties.detail.properties.id.type,string
academic-histories,properties.disciplines.items.properties.discipline.properties.detail.properties.id.format,guid
academic-histories,properties.disciplines.items.properties.discipline.properties.detail.properties.id.pattern,^[a-f0-9]{8}(?:-[a-f0-9]{4}){3}-[a-f0-9]{12}$
academic-histories,properties.disciplines.items.properties.discipline.properties.detail.links.rel,self
academic-histories,properties.disciplines.items.properties.discipline.properties.detail.links.href,/academic-disciplines/{id}
academic-histories,properties.disciplines.items.properties.discipline.properties.detail.links.targetSchema.$ref,academic-disciplines.json#
academic-histories,properties.disciplines.items.properties.discipline.properties.detail.additionalProperties,false
academic-histories,properties.disciplines.items.properties.discipline.properties.detail.required,id
academic-histories,properties.disciplines.items.properties.discipline.additionalProperties,false
academic-histories,properties.disciplines.items.properties.discipline.required,name
academic-histories,properties.disciplines.items.properties.subdisciplines.title,Sub-discipline
academic-histories,properties.disciplines.items.properties.subdisciplines.description,An academic discipline which is subordinate to the discipline.
academic-histories,properties.disciplines.items.properties.subdisciplines.type,array
academic-histories,properties.disciplines.items.properties.subdisciplines.items.type,object
academic-histories,properties.disciplines.items.properties.subdisciplines.items.properties.name.title,Name
academic-histories,properties.disciplines.items.properties.subdisciplines.items.properties.name.description,The name of the academic sub-discipline.
academic-histories,properties.disciplines.items.properties.subdisciplines.items.properties.name.type,string
academic-histories,properties.disciplines.items.properties.subdisciplines.items.properties.name.minLength,1
academic-histories,properties.disciplines.items.properties.subdisciplines.items.properties.detail.title,Detail
academic-histories,properties.disciplines.items.properties.subdisciplines.items.properties.detail.description,Detailed academic sub-discipline information, if available from the authoritative source..
academic-histories,properties.disciplines.items.properties.subdisciplines.items.properties.detail.type,object
academic-histories,properties.disciplines.items.properties.subdisciplines.items.properties.detail.properties.id.title,ID
academic-histories,properties.disciplines.items.properties.subdisciplines.items.properties.detail.properties.id.description,The global identifier for Detail
academic-histories,properties.disciplines.items.properties.subdisciplines.items.properties.detail.properties.id.type,string
academic-histories,properties.disciplines.items.properties.subdisciplines.items.properties.detail.properties.id.format,guid
academic-histories,properties.disciplines.items.properties.subdisciplines.items.properties.detail.properties.id.pattern,^[a-f0-9]{8}(?:-[a-f0-9]{4}){3}-[a-f0-9]{12}$
academic-histories,properties.disciplines.items.properties.subdisciplines.items.properties.detail.links.rel,self
academic-histories,properties.disciplines.items.properties.subdisciplines.items.properties.detail.links.href,/academic-disciplines/{id}
academic-histories,properties.disciplines.items.properties.subdisciplines.items.properties.detail.links.targetSchema.$ref,academic-disciplines.json#
academic-histories,properties.disciplines.items.properties.subdisciplines.items.properties.detail.additionalProperties,false
academic-histories,properties.disciplines.items.properties.subdisciplines.items.properties.detail.required,id
academic-histories,properties.disciplines.items.properties.subdisciplines.items.additionalProperties,false
academic-histories,properties.disciplines.items.properties.subdisciplines.items.required,name
academic-histories,properties.disciplines.items.additionalProperties,false
academic-histories,properties.disciplines.items.required,discipline
academic-histories,properties.startOn.title,Start Year
academic-histories,properties.startOn.description,The year the education started.
academic-histories,properties.startOn.oneOf.type,string
academic-histories,properties.startOn.oneOf.format,year
academic-histories,properties.startOn.oneOf.pattern,^([1-9][0-9]*)?[0-9]{4}$
academic-histories,properties.startOn.oneOf.type,string
academic-histories,properties.startOn.oneOf.maxLength,
academic-histories,properties.endOn.title,End Year
academic-histories,properties.endOn.description,The year the education ended.
academic-histories,properties.endOn.oneOf.type,string
academic-histories,properties.endOn.oneOf.format,year
academic-histories,properties.endOn.oneOf.pattern,^([1-9][0-9]*)?[0-9]{4}$
academic-histories,properties.endOn.oneOf.type,string
academic-histories,properties.endOn.oneOf.maxLength,
academic-histories,properties.grade.title,Grade
academic-histories,properties.grade.description,A measurement of the grades received.
academic-histories,properties.grade.type,string
academic-histories,properties.recognitions.title,Recognition
academic-histories,properties.recognitions.description,The academic recognitions received.
academic-histories,properties.recognitions.type,array
academic-histories,properties.recognitions.items.type,object
academic-histories,properties.recognitions.items.properties.name.title,Name
academic-histories,properties.recognitions.items.properties.name.description,The name of the academic recognition.
academic-histories,properties.recognitions.items.properties.name.type,string
academic-histories,properties.recognitions.items.properties.name.minLength,1
academic-histories,properties.recognitions.items.properties.detail.title,Detail
academic-histories,properties.recognitions.items.properties.detail.description,Detailed academic recognition information, if available from the authoritative source..
academic-histories,properties.recognitions.items.properties.detail.type,object
academic-histories,properties.recognitions.items.properties.detail.properties.id.title,ID
academic-histories,properties.recognitions.items.properties.detail.properties.id.description,The global identifier for Detail
academic-histories,properties.recognitions.items.properties.detail.properties.id.type,string
academic-histories,properties.recognitions.items.properties.detail.properties.id.format,guid
academic-histories,properties.recognitions.items.properties.detail.properties.id.pattern,^[a-f0-9]{8}(?:-[a-f0-9]{4}){3}-[a-f0-9]{12}$
academic-histories,properties.recognitions.items.properties.detail.links.rel,self
academic-histories,properties.recognitions.items.properties.detail.links.href,/academic-honors/{id}
academic-histories,properties.recognitions.items.properties.detail.links.targetSchema.$ref,academic-honors.json#
academic-histories,properties.recognitions.items.properties.detail.additionalProperties,false
academic-histories,properties.recognitions.items.properties.detail.required,id
academic-histories,properties.recognitions.items.additionalProperties,false
academic-histories,properties.recognitions.items.required,name
academic-histories,properties.thesis.title,Thesis/Dissertation
academic-histories,properties.thesis.description,The title of a thesis or dissertation.
academic-histories,properties.thesis.type,string
academic-histories,required,id;person;organization
academic-histories,additionalProperties,false
academic-honors,description,Honor presented to a student based on academic achievement.
academic-honors,type,object
academic-honors,properties.metadata.title,Metadata
academic-honors,properties.metadata.description,Metadata about the JSON payload
academic-honors,properties.metadata.type,object
academic-honors,properties.metadata.properties.createdBy.title,Created By
academic-honors,properties.metadata.properties.createdBy.description,The name of the originator (user or system) of the data. This is informational only, do not use in business logic!
academic-honors,properties.metadata.properties.createdBy.type,string
academic-honors,properties.metadata.properties.createdOn.title,Created On
academic-honors,properties.metadata.properties.createdOn.description,The date and time when the entity instance was created
academic-honors,properties.metadata.properties.createdOn.oneOf.type,string
academic-honors,properties.metadata.properties.createdOn.oneOf.format,date-time
academic-honors,properties.metadata.properties.createdOn.oneOf.pattern,^(-?(?:[1-9][0-9]*)?[0-9]{4})-(1[0-2]|0[1-9])-(3[0-1]|0[1-9]|[1-2][0-9])T(2[0-3]|[0-1][0-9]):([0-5][0-9]):([0-5][0-9])(\.[0-9]+)?(Z|[+-](?:2[0-3]|[0-1][0-9]):[0-5][0-9])?$
academic-honors,properties.metadata.properties.createdOn.oneOf.type,string
academic-honors,properties.metadata.properties.createdOn.oneOf.maxLength,
academic-honors,properties.metadata.properties.modifiedBy.title,Modified By
academic-honors,properties.metadata.properties.modifiedBy.description,The name of the modifier (user or system) of the data. This is informational only, do not use in business logic!
academic-honors,properties.metadata.properties.modifiedBy.type,string
academic-honors,properties.metadata.properties.modifiedOn.title,Modified On
academic-honors,properties.metadata.properties.modifiedOn.description,The date and time when the entity instance was last modified
academic-honors,properties.metadata.properties.modifiedOn.oneOf.type,string
academic-honors,properties.metadata.properties.modifiedOn.oneOf.format,date-time
academic-honors,properties.metadata.properties.modifiedOn.oneOf.pattern,^(-?(?:[1-9][0-9]*)?[0-9]{4})-(1[0-2]|0[1-9])-(3[0-1]|0[1-9]|[1-2][0-9])T(2[0-3]|[0-1][0-9]):([0-5][0-9]):([0-5][0-9])(\.[0-9]+)?(Z|[+-](?:2[0-3]|[0-1][0-9]):[0-5][0-9])?$
academic-honors,properties.metadata.properties.modifiedOn.oneOf.type,string
academic-honors,properties.metadata.properties.modifiedOn.oneOf.maxLength,
academic-honors,properties.metadata.additionalProperties,false
academic-honors,properties.id.title,ID
academic-honors,properties.id.description,A global identifier of an academic honor.
academic-honors,properties.id.type,string
academic-honors,properties.id.format,guid
academic-honors,properties.id.pattern,^[a-f0-9]{8}(?:-[a-f0-9]{4}){3}-[a-f0-9]{12}$
academic-honors,properties.code.title,Code
academic-honors,properties.code.description,The code that identifies the academic honor.
academic-honors,properties.code.type,string
academic-honors,properties.title.title,Title
academic-honors,properties.title.description,The full name of an academic honor.
